Company,Industry,City,Investors,Round,Amount,Year,State,Employee Size,Funded_Year,Amount_in_crores
1mg,Healthcare,Gurugram,Hbm Healthcare Investments,Private Equity,0.75,2016,Haryana,1001-5000,2016,"₹ 75,00,000.00"
Biteclub,Food,Gurugram,Growx Ventures,Private Equity,0.75,2015,Haryana,11-50,2015,"₹ 75,00,000.00"
Mad Street Den,Technology,Chennai,Growx Ventures,Private Equity,0.75,2016,Tamil Nadu,251-500,2016,"₹ 75,00,000.00"
HealthifyMe,Healthcare,Bengaluru,Gopal Srinivasan,Private Equity,0.75,2015,Karnataka,101-250,2015,"₹ 75,00,000.00"
Josh Talks,EdTech,Gurugram,Girish Mathrubootham,Private Equity,0.75,2017,Haryana,101-250,2017,"₹ 75,00,000.00"
AdPushUp,Technology,New Delhi,Geniee,Private Equity,0.75,2016,Delhi,101-250,2016,"₹ 75,00,000.00"
Browntape,Technology,Goa,Gati Ltd,Private Equity,0.75,2016,Goa,11-50,2016,"₹ 75,00,000.00"
UClean,Consumer Internet,Bengaluru,Franchise India,Private Equity,0.75,2016,Karnataka,1001-5000,2016,"₹ 75,00,000.00"
Scripbox,FinTech,Bengaluru,Existing Investors,Private Equity,0.75,2016,Karnataka,101-250,2016,"₹ 75,00,000.00"
Mad Street Den,Technology,Chennai,Exfinity Ventures,Private Equity,0.75,2016,Tamil Nadu,251-500,2016,"₹ 75,00,000.00"
Chai Point,Food,Bengaluru,Eight Roads Ventures India,Private Equity,0.75,2017,Karnataka,1001-5000,2017,"₹ 75,00,000.00"
Chai Point,Food,Bengaluru,Dsg Consumer Partners,Private Equity,0.75,2017,Karnataka,1001-5000,2017,"₹ 75,00,000.00"
Droom,E-Commerce,Gurugram,Digital Garage Inc,Private Equity,0.75,2016,Haryana,251-500,2016,"₹ 75,00,000.00"
91SpringBoard,Careers,New Delhi,Deepak Sharma,Private Equity,0.75,2016,Delhi,251-500,2016,"₹ 75,00,000.00"
Zoomcar,Transportation,Bengaluru,Cyber Carrier Cl,Private Equity,0.75,2016,Karnataka,501-1000,2016,"₹ 75,00,000.00"
HighRadius,FinTech,Hyderabad,Citi Ventures,Private Equity,0.75,2018,Telangana,251-500,2018,"₹ 75,00,000.00"
CarTrade,Automotive,Mumbai,Chip Perry,Private Equity,0.75,2015,Maharashtra,1001-5000,2015,"₹ 75,00,000.00"
iDreamCareer,EdTech,New Delhi,Capital Advisors,Private Equity,0.75,2016,Delhi,51-100,2016,"₹ 75,00,000.00"
MedTel,Healthcare,Bhubaneswar,British,Private Equity,0.75,2018,Odisha,11-50,2018,"₹ 75,00,000.00"
IDfy,FinTech,Mumbai,Blume Ventures,Private Equity,0.75,2015,Maharashtra,101-250,2015,"₹ 75,00,000.00"
RailYatri,Travel,Noida,Blume Ventures,Private Equity,0.75,2015,Uttar Pradesh,101-250,2015,"₹ 75,00,000.00"
RailYatri,Travel,Noida,Blume Ventures,Private Equity,0.75,2016,Uttar Pradesh,101-250,2016,"₹ 75,00,000.00"
RailYatri,Travel,Noida,Blume Ventures,Private Equity,0.75,2018,Uttar Pradesh,101-250,2018,"₹ 75,00,000.00"
PharmEasy,Healthcare,Mumbai,Bessemer Venture Partners,Private Equity,0.75,2018,Maharashtra,501-1000,2018,"₹ 75,00,000.00"
Droom,E-Commerce,Gurugram,Beenos,Private Equity,0.75,2016,Haryana,251-500,2016,"₹ 75,00,000.00"
Droom,E-Commerce,Gurugram,Beenext,Private Equity,0.75,2016,Haryana,251-500,2016,"₹ 75,00,000.00"
Wassup,Internet,Chennai,B S Nagesh,Private Equity,0.75,2015,Tamil Nadu,11-50,2015,"₹ 75,00,000.00"
Rapido,Transportation,Bengaluru,Astarc Ventures,Private Equity,0.75,2016,Karnataka,1001-5000,2016,"₹ 75,00,000.00"
ZiffyHomes,Technology,New Delhi,Aspire Systems,Private Equity,0.75,2016,Delhi,51-100,2016,"₹ 75,00,000.00"
Josh Talks,EdTech,Gurugram,Apurva Chamaria,Private Equity,0.75,2017,Haryana,101-250,2017,"₹ 75,00,000.00"
Paytm,E-Commerce,Bengaluru,Ant Financial,Private Equity,0.75,2015,Uttar Pradesh,501-1000,2015,"₹ 75,00,000.00"
HealthifyMe,Healthcare,Bengaluru,Amit Gupta,Private Equity,0.75,2015,Karnataka,101-250,2015,"₹ 75,00,000.00"
Indiamart,E-Commerce,Noida,Amadeus Capital,Private Equity,0.75,2016,Uttar Pradesh,5001-10000,2016,"₹ 75,00,000.00"
91SpringBoard,Careers,New Delhi,Al Nour International Holdings Co.,Private Equity,0.75,2017,Delhi,251-500,2017,"₹ 75,00,000.00"
Rapido,Transportation,Bengaluru,AdvantEdge Partners,Private Equity,0.75,2016,Karnataka,1001-5000,2016,"₹ 75,00,000.00"
Moglix,E-Commerce,Noida,Accel,Private Equity,0.75,2015,Uttar Pradesh,501-1000,2015,"₹ 75,00,000.00"
Scripbox,FinTech,Bengaluru,Accel,Private Equity,0.75,2016,Karnataka,101-250,2016,"₹ 75,00,000.00"
TripFactory,Travel,Bengaluru,Aarin Capital Partners,Private Equity,0.75,2015,Karnataka,101-250,2015,"₹ 75,00,000.00"
AgNext Technologies,Agriculture,Mohali,Undisclosed Investments,Series A,0.75,2018,Punjab,251-500,2018,"₹ 75,00,000.00"
AgNext Technologies,Agriculture,Mohali,Undisclosed Investments,Series A,0.75,2021,Punjab,251-500,2021,"₹ 75,00,000.00"
Any time Doctor,Healthcare,Chennai,Undisclosed Investments,Angel Funding,0.75,2018,Tamil Nadu,101-250,2018,"₹ 75,00,000.00"
Any time Doctor,Healthcare,Chennai,Undisclosed Investments,Angel Funding,0.75,2021,Tamil Nadu,101-250,2021,"₹ 75,00,000.00"
BillDesk,FinTech,Ahmedabad,Undisclosed Investments,Venture - Series Unknown,0.75,2018,Gujarat,501-1000,2018,"₹ 75,00,000.00"
BillDesk,FinTech,Ahmedabad,Undisclosed Investments,Venture - Series Unknown,0.75,2021,Gujarat,501-1000,2021,"₹ 75,00,000.00"
Bombay Shaving,Personal Care,New Delhi,Undisclosed Investments,Series A,0.75,2018,Delhi,251-500,2018,"₹ 75,00,000.00"
Bombay Shaving,Personal Care,New Delhi,Undisclosed Investments,Series A,0.75,2021,Delhi,251-500,2021,"₹ 75,00,000.00"
Carmel Organics,AgriTech,Indore,Undisclosed Investments,Series A,0.75,2021,Madhya Pradesh,11-50,2021,"₹ 75,00,000.00"
Carmel Organics,AgriTech,Indore,Undisclosed Investments,Series A,0.75,2018,Madhya Pradesh,11-50,2018,"₹ 75,00,000.00"
Detect Technologies,AI,Chennai,Undisclosed Investments,Series A,0.75,2018,Tamil Nadu,251-500,2018,"₹ 75,00,000.00"
Furlenco,E-Commerce,Bengaluru,Undisclosed Investments,Series C,0.75,2018,Karnataka,251-500,2018,"₹ 75,00,000.00"
Furlenco,E-Commerce,Bengaluru,Undisclosed Investments,Series C,0.75,2021,Karnataka,251-500,2021,"₹ 75,00,000.00"
HalaPlay Technologies,Entertainment,Bengaluru,Undisclosed Investments,Series A,0.75,2018,Karnataka,11-50,2018,"₹ 75,00,000.00"
HealthifyMe,Healthcare,Bengaluru,Undisclosed Investments,Series B,0.75,2018,Karnataka,101-250,2018,"₹ 75,00,000.00"
Impact Guru,FinTech,Mumbai,Undisclosed Investments,Series A,0.75,2018,Maharashtra,501-1000,2018,"₹ 75,00,000.00"
India Accelerator,B2B,Gurugram,Undisclosed Investments,Angel Funding,0.75,2021,Haryana,11-50,2021,"₹ 75,00,000.00"
India Accelerator,B2B,Gurugram,Undisclosed Investments,Angel Funding,0.75,2018,Haryana,11-50,2018,"₹ 75,00,000.00"
Meesho,E-Commerce,Bengaluru,Undisclosed Investments,Series C,0.75,2018,Karnataka,1001-5000,2018,"₹ 75,00,000.00"
MilkBasket,E-Commerce,Gurugram,Undisclosed Investments,Series A,0.75,2018,Haryana,11-50,2018,"₹ 75,00,000.00"
Moglix,E-Commerce,Noida,Undisclosed Investments,Series C,0.75,2018,Uttar Pradesh,501-1000,2018,"₹ 75,00,000.00"
OYO,Hospitality,Gurugram,Undisclosed Investments,Series E,0.75,2018,Haryana,10000+,2018,"₹ 75,00,000.00"
RAHI Care,Healthcare,Chandigarh,Undisclosed Investments,Venture - Series Unknown,0.75,2021,Chandigarh,251-500,2021,"₹ 75,00,000.00"
RAHI Care,Healthcare,Chandigarh,Undisclosed Investments,Venture - Series Unknown,0.75,2018,Chandigarh,251-500,2018,"₹ 75,00,000.00"
Royal Sundaram General Insurance Co. Limited,Finance,Kalpakkam,Undisclosed Investments,Corporate Round,0.75,2018,Tamil Nadu,1001-5000,2018,"₹ 75,00,000.00"
Shop101,E-Commerce,Mumbai,Undisclosed Investments,Series B,0.75,2018,Maharashtra,101-250,2018,"₹ 75,00,000.00"
Shopkirana,E-Commerce,Indore,Undisclosed Investments,Venture - Series Unknown,0.75,2018,Madhya Pradesh,501-1000,2018,"₹ 75,00,000.00"
Spinny,E-Commerce,Gurugram,Undisclosed Investments,Series A,0.75,2018,Haryana,251-500,2018,"₹ 75,00,000.00"
Swiggy,Food,Bengaluru,Undisclosed Investments,Series H,0.75,2018,Karnataka,10000+,2018,"₹ 75,00,000.00"
The Souled Store,Personal Care,Mumbai,Undisclosed Investments,Venture - Series Unknown,0.75,2018,Maharashtra,501-1000,2018,"₹ 75,00,000.00"
Toppr,EdTech,Mumbai,Undisclosed Investments,Series C,0.75,2018,Maharashtra,1001-5000,2018,"₹ 75,00,000.00"
Tranzmeo,AI,Kochi,Undisclosed Investments,Pre-Seed,0.75,2018,Kerala,11-50,2018,"₹ 75,00,000.00"
Tranzmeo,AI,Kochi,Undisclosed Investments,Pre-Seed,0.75,2021,Kerala,11-50,2021,"₹ 75,00,000.00"
Vivriti Capital,FinTech,Chennai,Undisclosed Investments,Venture - Series Unknown,0.75,2018,Tamil Nadu,101-250,2018,"₹ 75,00,000.00"
Wow Venue,Event Management,Mumbai,Undisclosed Investments,Venture - Series Unknown,0.75,2018,Maharashtra,11-50,2018,"₹ 75,00,000.00"
Yaantra,IT,New Delhi,Undisclosed Investments,Debt Financing,0.75,2018,Delhi,251-500,2018,"₹ 75,00,000.00"
Kashmir Box,E-Commerce,Srinagar,Sohail Hashemi,Angel Funding,0.75,2018,Jammu and Kashmir,11-50,2018,"₹ 75,00,000.00"
Zoctr,Healthcare,Mumbai,Nb Ventures,Angel Funding,0.75,2018,Maharashtra,11-50,2018,"₹ 75,00,000.00"
Kashmir Box,E-Commerce,Srinagar,Namrata Kaul,Angel Funding,0.75,2018,Jammu and Kashmir,11-50,2018,"₹ 75,00,000.00"
FleetX,Logistics,Gurugram,Letsventure'S Angel Fund,Pre Series A,0.75,2019,Haryana,101-250,2019,"₹ 75,00,000.00"
UrbanPiper,Software,Bengaluru,Kumar Vembu,Angel Funding,0.75,2018,Karnataka,101-250,2018,"₹ 75,00,000.00"
FleetX,Logistics,Gurugram,India Quotient,Pre Series A,0.75,2019,Haryana,101-250,2019,"₹ 75,00,000.00"
The Man Company,Personal Care,Gurugram,Ayushmann Khurana,Corporate Round,0.75,2019,Haryana,101-250,2019,"₹ 75,00,000.00"
UrbanPiper,Software,Bengaluru,Axilor Ventures,Angel Funding,0.75,2018,Karnataka,101-250,2018,"₹ 75,00,000.00"
Kashmir Box,E-Commerce,Srinagar,Alok Divatia,Angel Funding,0.75,2018,Jammu and Kashmir,11-50,2018,"₹ 75,00,000.00"
Kashmir Box,E-Commerce,Srinagar,Aijaz Saleem,Angel Funding,0.75,2018,Jammu and Kashmir,11-50,2018,"₹ 75,00,000.00"
Droom,E-Commerce,Gurugram,Zigexn,Series E,24.75,2018,Haryana,251-500,2018,"₹ 24,75,00,000.00"
LendingKart,FinTech,Ahmedabad,Yes Bank,Debt Funding,64.35,2017,Gujarat,501-1000,2017,"₹ 64,35,00,000.00"
Nivesh,Finance,Noida,Vivek Khare,Angel Funding,3.71,2018,Uttar Pradesh,51-100,2018,"₹ 3,71,00,000.00"
Biryani By Kilo,Food,Gurugram,Vinay Mittal,Angel Funding,8.25,2018,Haryana,251-500,2018,"₹ 8,25,00,000.00"
Inthree,Technology,Chennai,Ventureast,Angel Funding,33,2018,Tamil Nadu,251-500,2018,"₹ 33,00,00,000.00"
Aye Finance,Finance,Gurugram,Triodos Investment Management,Debt Funding,56.93,2017,Delhi,501-1000,2017,"₹ 56,93,00,000.00"
Cashify,FinTech,Gurugram,Trifecta Capital Advisors,Debt Funding,7.71,2018,Haryana,501-1000,2018,"₹ 7,71,00,000.00"
Magicpin,Consumer Internet,Gurugram,Trifecta Capital Advisors,Debt Funding,8.25,2018,Haryana,501-1000,2018,"₹ 8,25,00,000.00"
INDwealth,Finance,Gurugram,Tiger Global Management,Venture Round,123.75,2019,Haryana,101-250,2019,"₹ 1,23,75,00,000.00"
OkCredit,FinTech,Haryana,Tiger Global Management,Series A,127.88,2019,Haryana,101-250,2019,"₹ 1,27,88,00,000.00"
Zenoti,Software,Hyderabad,Tiger Global Management,Series C,412.5,2019,Telangana,501-1000,2019,"₹ 4,12,50,00,000.00"
Veritas Finance,FinTech,Chennai,UK Development Finance Institution,Series D,229.34,2018,Tamil Nadu,5001-10000,2018,"₹ 2,29,34,00,000.00"
Inthree,Technology,Chennai,The Ian Fund,Angel Funding,33,2018,Tamil Nadu,251-500,2018,"₹ 33,00,00,000.00"
Shuttl,Transportation,Gurugram,Susquehanna Growth Equity,Series C,66.4,2020,Haryana,251-500,2020,"₹ 66,40,00,000.00"
Purplle,E-Commerce,Mumbai,Suncoast Investments,Angel Funding,4.43,2017,Maharashtra,101-250,2017,"₹ 4,43,00,000.00"
Rivigo,Logistics,Gurugram,Spring Canter Investment Ltd,Series F,165,2019,Haryana,1001-5000,2019,"₹ 1,65,00,00,000.00"
Grofers,E-Commerce,Gurugram,Softbank Vision Fund,Series F,577.5,2019,Haryana,1001-5000,2019,"₹ 5,77,50,00,000.00"
Lenskart,E-Commerce,Gurugram,Softbank Vision Fund,Series G,1905.75,2019,Haryana,251-500,2019,"₹ 19,05,75,00,000.00"
Bira91,Food,New Delhi,Sixth Sense Ventures,Series B,46.2,2019,Delhi,1001-5000,2019,"₹ 46,20,00,000.00"
Zappfresh,Food,Gurugram,Sidbi Venture Capital,Angel Funding,24.75,2018,Haryana,11-50,2018,"₹ 24,75,00,000.00"
CarDekho,Automotive,Jaipur,Sequoia India,Series C,907.5,2019,Rajasthan,501-1000,2019,"₹ 9,07,50,00,000.00"
Progcap,Finance,New Delhi,Sequoia India,Series A,41.25,2019,Delhi,11-50,2019,"₹ 41,25,00,000.00"
MamaEarth,E-Commerce,Gurugram,Sequoia Capital India,Series B,151.46,2020,Haryana,11-50,2020,"₹ 1,51,46,00,000.00"
Freshworks,Software,Chennai,Sequoia,Series H,1237.5,2019,Tamil Nadu,5001-10000,2019,"₹ 12,37,50,00,000.00"
LendingKart,FinTech,Ahmedabad,SE Financierings,Debt Funding,38.78,2018,Gujarat,501-1000,2018,"₹ 38,78,00,000.00"
CarDekho,Automotive,Gurugram,SC GG India Mobility Holdings,Series C,165,2019,Haryana,501-1000,2019,"₹ 1,65,00,00,000.00"
MyLoanCare,Finance,Gurugram,Sar Group,Angel Funding,8.07,2018,Haryana,51-100,2018,"₹ 8,07,00,000.00"
Rivigo,Logistics,Gurugram,Saif Partners,Series F,165,2019,Haryana,1001-5000,2019,"₹ 1,65,00,00,000.00"
A&R Bon Vivants,Food,Jaipur,Rb Investments,Equity,8.25,2018,Rajasthan,11-50,2018,"₹ 8,25,00,000.00"
Nivesh,Finance,Noida,Rajan Anand,Angel Funding,3.71,2018,Uttar Pradesh,51-100,2018,"₹ 3,71,00,000.00"
Kaleidofin,Finance,Chennai,Professor Shlomo Ben-Haim,Angel Funding,23.1,2018,Tamil Nadu,51-100,2018,"₹ 23,10,00,000.00"
CarDekho,Automotive,Gurugram,Ping An Global Voyager Fund,Series D,577.5,2019,Haryana,501-1000,2019,"₹ 5,77,50,00,000.00"
Pine Labs,FinTech,Noida,Pine Labs Pte Ltd,Corporate Round,314.16,2019,Uttar Pradesh,1001-5000,2019,"₹ 3,14,16,00,000.00"
Veritas Finance,FinTech,Chennai,P Surendra Pai,Series D,229.34,2018,Tamil Nadu,5001-10000,2018,"₹ 2,29,34,00,000.00"
Inthree,Technology,Chennai,Orios Venture Partners,Angel Funding,33,2018,Tamil Nadu,251-500,2018,"₹ 33,00,00,000.00"
Nivesh,Finance,Noida,Omnivore Partners,Angel Funding,3.71,2018,Uttar Pradesh,51-100,2018,"₹ 3,71,00,000.00"
Kaleidofin,Finance,Chennai,Omidyar Networks,Angel Funding,23.1,2018,Tamil Nadu,51-100,2018,"₹ 23,10,00,000.00"
Aashiyaan,Finance,Kolkata,Oikocredit,Angel Funding,16.5,2018,West Bengal,501-1000,2018,"₹ 16,50,00,000.00"
Acko,FinTech,Mumbai,Nr Narayana Murthy,Angel Funding,99,2018,Maharashtra,1001-5000,2018,"₹ 99,00,00,000.00"
Veritas Finance,FinTech,Chennai,Norwest Venture Partners,Series D,229.34,2018,Tamil Nadu,5001-10000,2018,"₹ 2,29,34,00,000.00"
Livehealth,Healthcare,Pune,Nexus Venture Partners,Angel Funding,9.08,2018,Maharashtra,101-250,2018,"₹ 9,08,00,000.00"
Shuttl,Transportation,Gurugram,New Atlantic Ventures,Venture Round,41.25,2019,Haryana,251-500,2019,"₹ 41,25,00,000.00"
LendingKart,FinTech,Ahmedabad,Nederl,Debt Funding,38.78,2018,Gujarat,501-1000,2018,"₹ 38,78,00,000.00"
MyLoanCare,Finance,Gurugram,Flourish Ventures,Series A,6.5,2021,Haryana,51-100,2021,"₹ 6,50,00,000.00"
Purplle,E-Commerce,Mumbai,Mountain Pain Capital,Angel Funding,4.43,2017,Maharashtra,101-250,2017,"₹ 4,43,00,000.00"
Toppr,EdTech,Mumbai,Milestone,Debt and Preference capital,52.15,2019,Maharashtra,1001-5000,2019,"₹ 52,15,00,000.00"
MilkBasket,E-Commerce,Gurugram,Mayfield Fund,Series B,10.73,2018,Haryana,11-50,2018,"₹ 10,73,00,000.00"
Uniphore,AI,Taramani,March Capital Partners,Series C,314.16,2019,Tamil Nadu,501-1000,2019,"₹ 3,14,16,00,000.00"
Uniphore,AI,Chennai,March Capital Partners,Series C,420.75,2019,Tamil Nadu,501-1000,2019,"₹ 4,20,75,00,000.00"
Nivesh,Finance,Noida,Letsventure,Angel Funding,3.71,2018,Uttar Pradesh,51-100,2018,"₹ 3,71,00,000.00"
OfBusiness,FinTech,Gurugram,Kotak Mahindra Bank,Debt Funding,31.35,2017,Haryana,501-1000,2017,"₹ 31,35,00,000.00"
Healthsignz,Healthcare,Hyderabad,Kantilal Patel,Angel Funding,41.25,2018,Telangana,101-250,2018,"₹ 41,25,00,000.00"
Disprz,EdTech,Chennai,Kae Capital,Angel Funding,20.63,2018,Tamil Nadu,251-500,2018,"₹ 20,63,00,000.00"
AyeFinance,Finance,Gurugram,Intellegrow,Debt Funding,37.95,2018,Haryana,501-1000,2018,"₹ 37,95,00,000.00"
Aashiyaan,Finance,Kolkata,Insistor,Angel Funding,16.5,2018,West Bengal,501-1000,2018,"₹ 16,50,00,000.00"
BharatPe,FinTech,New Delhi,Insight Venture Partners,Series B,618.75,2019,Delhi,251-500,2019,"₹ 6,18,75,00,000.00"
Yatra,E-Commerce,Gurugram,Innoven Capital India,Debt Funding,127.05,2017,Haryana,1001-5000,2017,"₹ 1,27,05,00,000.00"
PharmEasy,Healthcare,Mumbai,Innoven Capital,Debt Funding,45.38,2018,Maharashtra,501-1000,2018,"₹ 45,38,00,000.00"
Gramophone,Entertainment,Indore,Infoedge,Angel Funding,8.25,2018,Madhya Pradesh,11-50,2018,"₹ 8,25,00,000.00"
Disprz,EdTech,Chennai,IIL,Angel Funding,20.63,2018,Tamil Nadu,251-500,2018,"₹ 20,63,00,000.00"
Aye Finance,Finance,Gurugram,Ifmr Capital,Term Loan,51.48,2018,Haryana,501-1000,2018,"₹ 51,48,00,000.00"
FR8,Technology,Chennai,Ifmr Capital,Debt Funding,12.38,2017,Tamil Nadu,101-250,2017,"₹ 12,38,00,000.00"
eShakti,E-Commerce,Chennai,Idg Ventures,Debt Funding,18.98,2017,Tamil Nadu,251-500,2017,"₹ 18,98,00,000.00"
Avenue Growth,Consumer Internet,Gurugram,IDFC Bank,Angel Funding,3.61,2018,Haryana,101-250,2018,"₹ 3,61,00,000.00"
AyeFinance,Finance,Gurugram,Hinduja Leyl,Debt Funding,37.95,2018,Haryana,501-1000,2018,"₹ 37,95,00,000.00"
CarDekho,Automotive,Jaipur,Hillhouse Capital,Series C,907.5,2019,Rajasthan,501-1000,2019,"₹ 9,07,50,00,000.00"
Disprz,EdTech,Chennai,Fs Private Equity,Angel Funding,20.63,2018,Tamil Nadu,251-500,2018,"₹ 20,63,00,000.00"
Aye Finance,Finance,Gurugram,Fintech Innovation Lab,Debt Funding,143.64,2019,Haryana,501-1000,2019,"₹ 1,43,64,00,000.00"
AyeFinance,Finance,Gurugram,Fintech Innovation Lab,Debt Funding,37.95,2018,Haryana,501-1000,2018,"₹ 37,95,00,000.00"
3rdFlix,Software,Hyderabad,Exfinity Venture Partners,Pre Series A,41.25,2019,Telangana,11-50,2019,"₹ 41,25,00,000.00"
LendingKart,FinTech,Ahmedabad,En NV,Debt Funding,38.78,2018,Gujarat,501-1000,2018,"₹ 38,78,00,000.00"
EarlySalary,FinTech,Pune,Eight Roads Ventures India,Private Funding,129.53,2018,Maharashtra,101-250,2018,"₹ 1,29,53,00,000.00"
OYO,Hospitality,Gurugram,Didi Chuxing,Equity,825,2018,Haryana,10000+,2018,"₹ 8,25,00,00,000.00"
Pando,Logistics,Chennai,Chiratae Ventures,Series A,74.25,2020,Tamil Nadu,251-500,2020,"₹ 74,25,00,000.00"
Veritas Finance,FinTech,Chennai,CDC Group,Series D,229.34,2018,Tamil Nadu,5001-10000,2018,"₹ 2,29,34,00,000.00"
Acko,FinTech,Mumbai,Catamaran Ventures,Angel Funding,99,2018,Maharashtra,1001-5000,2018,"₹ 99,00,00,000.00"
Freshworks,Software,Chennai,Capital G,Series H,1237.5,2019,Tamil Nadu,5001-10000,2019,"₹ 12,37,50,00,000.00"
AyeFinance,Finance,Gurugram,Blue Orchard,Debt Funding,37.95,2018,Haryana,501-1000,2018,"₹ 37,95,00,000.00"
Alteria Capital,Finance,Mumbai,Binny Bansal,Single Venture,1155,2019,Maharashtra,101-250,2019,"₹ 11,55,00,00,000.00"
House of Msasaba,Personal Care,Mumbai,Binny Bansal,Series A,8.25,2019,Maharashtra,251-500,2019,"₹ 8,25,00,000.00"
Nivesh,Finance,Noida,Bijoy George,Angel Funding,3.71,2018,Uttar Pradesh,51-100,2018,"₹ 3,71,00,000.00"
Nivesh,Finance,Noida,Basab Pradhan,Angel Funding,3.71,2018,Uttar Pradesh,51-100,2018,"₹ 3,71,00,000.00"
Alteria Capital,Finance,Mumbai,Azim Premji,Single Venture,1155,2019,Maharashtra,101-250,2019,"₹ 11,55,00,00,000.00"
CarDekho,Automotive,Jaipur,Axis Capital Partners,Series C,907.5,2019,Rajasthan,501-1000,2019,"₹ 9,07,50,00,000.00"
Avenue Growth,Consumer Internet,Gurugram,Avtar Monga,Angel Funding,3.61,2018,Haryana,101-250,2018,"₹ 3,61,00,000.00"
Ad2pro,Technology,Chennai,Avendus Finance,Debt Funding,80.03,2018,Tamil Nadu,51-100,2018,"₹ 80,03,00,000.00"
Acko,FinTech,Mumbai,Ashish Dhawan,Angel Funding,99,2018,Maharashtra,1001-5000,2018,"₹ 99,00,00,000.00"
Agricxlab,AgriTech,Thane,Ankur Capital,Angel Funding,4.13,2018,Maharashtra,11-50,2018,"₹ 4,13,00,000.00"
Bira91,Food,New Delhi,Anicut Capital,Debt Funding,82.5,2019,Delhi,1001-5000,2019,"₹ 82,50,00,000.00"
Zappfresh,Food,Gurugram,Amit Burman,Angel Funding,24.75,2018,Haryana,11-50,2018,"₹ 24,75,00,000.00"
Acko,FinTech,Mumbai,Amazon,Angel Funding,99,2018,Maharashtra,1001-5000,2018,"₹ 99,00,00,000.00"
CarDekho,Automotive,Jaipur,Alphabet's Growth Investment Arm Capital G,Series C,907.5,2019,Rajasthan,501-1000,2019,"₹ 9,07,50,00,000.00"
Biryani By Kilo,Food,Gurugram,Ajay Relan,Angel Funding,8.25,2018,Haryana,251-500,2018,"₹ 8,25,00,000.00"
Avenue Growth,Consumer Internet,Gurugram,Aditya Malik,Angel Funding,3.61,2018,Haryana,101-250,2018,"₹ 3,61,00,000.00"
Freshworks,Software,Chennai,Accel,Series H,1237.5,2019,Tamil Nadu,5001-10000,2019,"₹ 12,37,50,00,000.00"
Atomberg,Households,Mumbai,A91 Partners,Series A,82.5,2019,Maharashtra,501-1000,2019,"₹ 82,50,00,000.00"
Rapido,Transportation,Bengaluru,Westbridge Capital Partners,Series B,321.75,2019,Karnataka,1001-5000,2019,"₹ 3,21,75,00,000.00"
Signzy,FinTech,Bengaluru,Welwal From Sap Labs India,Series A,28.05,2018,Karnataka,101-250,2018,"₹ 28,05,00,000.00"
BlackBuck,Logistics,Bengaluru,Wellington Management,Series D,1237.5,2019,Karnataka,1001-5000,2019,"₹ 12,37,50,00,000.00"
Trell,Social Media,Bengaluru,Weh Ventures,Angel Funding,10.31,2018,Karnataka,101-250,2018,"₹ 10,31,00,000.00"
Paytm,E-Commerce,Bengaluru,Vijay Shekhar Sharma,Funding Round,82.5,2019,Karnataka,501-1000,2019,"₹ 82,50,00,000.00"
Glowroad,E-Commerce,Bengaluru,Vertex Ventures,Series B,94.88,2019,Karnataka,51-100,2019,"₹ 94,88,00,000.00"
Licious,E-Commerce,Bengaluru,Vertex Growth Fund,Series E,247.5,2019,Karnataka,1001-5000,2019,"₹ 2,47,50,00,000.00"
HealthifyMe,Healthcare,Bengaluru,Vc Samsung Next,Series B (Extension),49.5,2018,Karnataka,101-250,2018,"₹ 49,50,00,000.00"
BlackBuck,Logistics,Bengaluru,Tiger Global Management,Series A,8.25,2018,Karnataka,1001-5000,2018,"₹ 8,25,00,000.00"
Signzy,FinTech,Bengaluru,Stellaris Venture Partners,Series A,28.05,2018,Karnataka,101-250,2018,"₹ 28,05,00,000.00"
Trell,Social Media,Bengaluru,Sprout Ventures,Angel Funding,10.31,2018,Karnataka,101-250,2018,"₹ 10,31,00,000.00"
Rapido,Transportation,Bengaluru,Skycatcher Fund,Angel Funding,2.72,2017,Karnataka,1001-5000,2017,"₹ 2,72,00,000.00"
HealthifyMe,Healthcare,Bengaluru,Sistema Asia Fund,Series B (Extension),49.5,2018,Karnataka,101-250,2018,"₹ 49,50,00,000.00"
BlackBuck,Logistics,Bengaluru,Silicon Valley-Based Accel,Series D,1237.5,2019,Karnataka,1001-5000,2019,"₹ 12,37,50,00,000.00"
Meesho,E-Commerce,Bengaluru,Shunwei Capital,Series C,412.5,2018,Karnataka,1001-5000,2018,"₹ 4,12,50,00,000.00"
BlackBuck,Logistics,Bengaluru,Sequoia Capital India,Private Funding,121.11,2018,Karnataka,1001-5000,2018,"₹ 1,21,11,00,000.00"
BlackBuck,Logistics,Bengaluru,Sequoia Capital,Series D,1237.5,2019,Karnataka,1001-5000,2019,"₹ 12,37,50,00,000.00"
happay,FinTech,Bengaluru,Sequoia,Angel Funding,2.06,2018,Karnataka,251-500,2018,"₹ 2,06,00,000.00"
Ola,Transportation,Bengaluru,Samih Toukan,Series J,8.25,2019,Karnataka,5001-10000,2019,"₹ 8,25,00,000.00"
Ather Energy,EV,Bengaluru,Sachin Bansal,Series C,420.75,2019,Karnataka,1001-5000,2019,"₹ 4,20,75,00,000.00"
BlackBuck,Logistics,Bengaluru,S Capital,Series D,1237.5,2019,Karnataka,1001-5000,2019,"₹ 12,37,50,00,000.00"
